City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
250,Buchanan,LR,5.88,-10.05,76.59,82,98,10.29,overcast clouds
251,Hearst,CA,49.68,-83.67,64.81,70,45,6.17,scattered clouds
252,Havre-Saint-Pierre,CA,50.23,-63.6,53.6,87,1,6.93,clear sky
253,Buraydah,SA,26.33,43.98,91.4,36,71,8.05,broken clouds
254,Stornoway,GB,58.21,-6.39,55.4,66,43,4.7,scattered clouds
255,Nortelandia,BR,-14.45,-56.8,86.43,25,64,2.64,broken clouds
256,Caravelas,BR,-17.71,-39.25,68.86,72,6,11.16,clear sky
257,Hofn,IS,64.25,-15.21,49.64,80,38,4.41,scattered clouds
258,Baghdad,IQ,33.34,44.4,78.8,36,0,6.93,clear sky
259,Dingle,PH,11.0,122.67,81.64,80,33,3.38,scattered clouds
260,Macherla,IN,16.48,79.43,79.34,79,87,6.26,overcast clouds
261,Altamira,BR,-3.2,-52.21,72.0,92,45,1.74,scattered clouds
262,Barzas,RU,55.72,86.32,50.0,100,40,4.47,fog
263,Maseru,LS,-29.32,27.48,44.08,61,0,3.53,clear sky
264,Sabha,LY,27.04,14.43,81.09,38,0,11.14,clear sky
265,Namibe,AO,-15.2,12.15,66.07,87,95,3.38,overcast clouds
266,Garowe,SO,8.41,48.48,75.36,63,0,20.07,clear sky
267,Emirdag,TR,39.02,31.15,64.51,40,0,0.38,clear sky
268,Guanica,PR,17.97,-66.91,82.0,84,99,2.71,overcast clouds
269,Wana,PK,32.3,69.57,76.23,58,3,4.83,clear sky
270,Sar-E Pul,AF,35.83,66.17,54.84,61,29,0.56,scattered clouds
271,Bilecik,TR,40.0,30.17,68.0,77,0,2.24,clear sky
272,Beyla,GN,8.68,-8.63,66.85,97,60,5.61,broken clouds
273,Pavino,RU,59.11,46.14,58.8,96,100,7.16,overcast clouds
274,Yellapur,IN,14.97,74.72,68.56,100,73,2.44,broken clouds
275,Corrales,US,35.24,-106.61,91.4,17,75,18.34,smoke
276,Saint-Joseph,RE,-21.37,55.62,66.2,63,23,6.93,few clouds
277,Hamilton,US,39.18,-84.53,86.0,55,40,12.75,scattered clouds
278,Kargasok,RU,59.06,80.86,46.17,97,19,4.25,few clouds
279,Husavik,IS,66.04,-17.34,41.0,86,0,4.7,clear sky
280,Nanortalik,GL,60.14,-45.24,42.57,88,63,6.71,broken clouds
281,Abapo,BO,-18.83,-63.47,69.57,55,0,6.2,clear sky
282,Tabuk,PH,17.42,121.44,79.99,71,100,0.43,overcast clouds
283,Graaff-Reinet,ZA,-32.25,24.53,53.01,89,67,0.07,broken clouds
284,Kemijarvi,FI,66.71,27.43,45.52,80,32,6.33,scattered clouds
285,Korla,CN,41.76,86.15,79.68,26,1,5.66,clear sky
286,Oranjemund,NA,-28.55,16.43,51.55,92,0,2.73,clear sky
287,Dubai,AE,25.26,55.3,93.2,59,34,6.93,scattered clouds
288,Pavilosta,LV,56.89,21.19,62.6,72,47,5.82,light rain
289,Mercedes,AR,-34.65,-59.43,68.0,73,25,3.0,scattered clouds
290,Cape Canaveral,US,28.41,-80.6,86.0,84,1,11.41,clear sky
291,Mezen,RU,65.85,44.24,51.91,96,5,4.54,clear sky
292,Anderson,US,34.53,-82.65,80.6,78,40,2.42,light rain
293,Tessalit,ML,20.2,1.01,84.52,48,41,6.49,scattered clouds
294,Tupiza,BO,-21.45,-65.72,53.71,41,12,7.14,few clouds
295,Saint-Augustin,CA,51.23,-58.65,58.06,80,13,4.52,few clouds
296,Am Timan,TD,11.03,20.28,73.89,88,100,3.51,light rain
297,Cidreira,BR,-30.18,-50.21,62.62,78,1,20.54,clear sky
298,Ancud,CL,-41.87,-73.82,45.0,80,90,6.93,overcast clouds
299,Maracacume,BR,-2.04,-45.96,72.64,96,17,2.53,few clouds
300,Praia Da Vitoria,PT,38.73,-27.07,75.2,83,20,5.23,few clouds
301,Chapais,CA,49.78,-74.85,68.0,56,75,4.7,broken clouds
302,Shuyskoye,RU,59.37,41.03,54.34,97,46,5.35,scattered clouds
303,Havoysund,NO,71.0,24.66,50.0,81,75,19.46,broken clouds
304,Adrar,MR,20.5,-10.07,95.18,29,17,16.82,few clouds
305,Morant Bay,JM,17.88,-76.41,86.0,74,40,19.46,scattered clouds
